Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Slave.Age,Slave.Gender,Slave.Name,Slave.Skin Color,Transaction.Date,Transaction.Number of Adult Slaves,Transaction.Number of Child Slaves,Transaction.Number of Total Slaves Purchased,Transaction.Sale Details.Discount Rate,Transaction.Sale Details.Payment Method,Transaction.Sale Details.Predicted Interest Rate,Transaction.Sale Details.Price,Transaction.Sale Details.Prices Listed
Warren,Alfred C. Downs,"Warren, MS",MS,New Orleans,Eldridge Loftin,"New Orleans, LA",LA,35,M,Amos,Negro,2/13/1857,28,1,29,0.00602698,Cash,0.07477,23000,1
Ouachita,Durrett B. Sanford,"Ouachita, LA",LA,New Orleans,George Chapman,"New Orleans, LA",LA,18,F,Louisa,Griff,2/21/1857,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Phillip Claiborne,"New Orleans, LA",LA,New Orleans,Minor children of Widow Theresa Stringer McDonald Unknown,"New Orleans, LA",LA,60,F,Susan,Negro,2/2/1857,1,0,1,0.006202525,Credit,0.07702264,125,1
Ouachita,William H. Bradley,"Ouachita, LA",LA,New Orleans,Thomas A. Stone,"New Orleans, LA",LA,17,F,Dealy,Griff,2/18/1857,1,0,1,0.006202525,Credit,0.07702264,756,1
Little Rock,Moorehead Wright,"Little Rock, AR",AR,New Orleans,Eldridge Loftin,"New Orleans, LA",LA,28,F,Cora,Negro,2/23/1857,1,5,6,0.00602698,Cash,0.07477,3300,1
New Orleans,Jean Marie Lefranc,"New Orleans, LA",LA,Calcasieu,Louis Lefranc,"Calcasieu, LA",LA,13,F,Mary Ann,Griff,2/17/1857,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Julien Grassin,"New Orleans, LA",LA,New Orleans,Ferdinand N. Gueringer,"New Orleans, LA",LA,22,F,Lucy,Negro,2/17/1857,1,1,2,0.00602698,Cash,0.07477,1025,1
St. Charles,Virginia Troxler Heurtin,"St. Charles, LA",LA,New Orleans,"Marie Adele, Jules Villere, Lavergne","New Orleans, LA",LA,17,F,Effy/ Pouce,Griff,2/7/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,900,1
New Orleans,Luico Mitchell Foster,"New Orleans, LA",LA,New Orleans,Martin Moll,"New Orleans, LA",LA,50,M,Daniel,Quarteroon,2/24/1857,1,0,1,0.006070898,Credit,0.07533316,225,1
New Orleans,Robert McRee,"New Orleans, LA",LA,New Orleans,Sarah Matthews,"New Orleans, LA",LA,10,F,Jenny,Griff,2/24/1857,1,0,1,0.00602698,Cash,0.07477,500,1
Ouachita,Isaac T. Bass,"Ouachita, LA",LA,Halifax,Nathaniel H. Poindexter,"Halifax, VA",VA,35,M,Jack,Negro,2/24/1857,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Celestine Marigny,"New Orleans, LA",LA,New Orleans,Bertrand Saloy,"New Orleans, LA",LA,51,F,Julia,Negro,2/21/1857,1,0,1,0.006202525,Credit,0.07702264,350,1
New Orleans,William Colter,"New Orleans, LA",LA,Natchez,John W. Clarke,"Natchez, MS",MS,28,M,Jim,Negro,2/24/1857,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,Adam Schott,"New Orleans, LA",LA,New Orleans,Mathilde Scheixnaydre Baumgarte,"New Orleans, LA",LA,36,M,Elias,Negro,2/5/1857,1,0,1,0.00602698,Cash,0.07477,150,1
New Orleans,Bernard Kendig,"New Orleans, LA",LA,New Orleans,Mary Elizabeth Bullitt Jones,"New Orleans, LA",LA,15,F,Cornelia,Griff,2/5/1857,1,0,1,0.00602698,Cash,0.07477,940,1
Natchitoches,Valery Gaiennie,"Natchitoches, LA",LA,Plaquemines,John Holland,"Plaquemines, LA",LA,28,M,Jim,Negro,2/19/1857,1,0,1,0.00602698,Cash,0.07477,600,1
New Orleans,Lucien Constant Adams,"New Orleans, LA",LA,New Orleans,Charles Hyllested,"New Orleans, LA",LA,25,F,Mary/ Alphonsine,Negro,2/25/1857,1,0,1,0.00602698,Cash,0.07477,380,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,New Orleans,Emma Murphy Hincks,"New Orleans, LA",LA,13,M,Joe,Griff,2/20/1857,1,0,1,0.00602698,Cash,0.07477,805,1
New Orleans,John Youenes,"New Orleans, LA",LA,New Orleans,Victoire Hotard Lorio,"New Orleans, LA",LA,13,F,Octarie,Mulatto,2/25/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,950,1
Avoyelles,Jean Marie Bret Lacour,"Avoyelles, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,20,M,Brown,Negro,2/25/1857,1,0,1,0.00602698,Cash,0.07477,1300,1
New Orleans,Robert Spence,"New Orleans, LA",LA,Jefferson,Henry Frederick Smith,"Jefferson, LA",LA,34,F,Adeline,Negro,2/26/1857,1,0,1,0.00602698,Cash,0.07477,700,1
New Orleans,Cornelius W. Ryan,"New Orleans, LA",LA,New Orleans,Julia Macarty Bonnabel,"New Orleans, LA",LA,34,F,Eliza,Griff,2/14/1857,1,0,1,0.00602698,Cash,0.07477,925,1
Tuscaloosa,James Fredell Long,"Tuscaloosa, AL",AL,New Orleans,Julia Macarty Bonnabel,"New Orleans, LA",LA,50,F,China,Negro,2/14/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,395,1
Lafourche,James Caillouet,"Lafourche, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,19,M,George,Negro,2/27/1857,4,0,4,0.00602698,Cash,0.07477,1550,4
New Orleans,Jean Livran,"New Orleans, LA",LA,New Orleans,Eugene de Champs,"New Orleans, LA",LA,40,F,Betsey,Negro,2/28/1857,1,0,1,0.00602698,Cash,0.07477,850,1
New Orleans,John Foster,"New Orleans, LA",LA,New Orleans,Elisabeth Dupart,"New Orleans, LA",LA,22,F,Elizabeth,Negro,2/27/1857,1,1,2,0.00602698,Cash,0.07477,950,1
Wilkinson,James H. Wilson,"Wilkinson, TN",TN,New Orleans,Octave Voorhies,"New Orleans, LA",LA,15,M,Gadra,Mulatto,2/25/1857,1,0,1,0.006070898,Credit,0.07533316,1000,1
Avoyelles,Isaiah Theophilus Norwood,"Avoyelles, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,23,M,Ely,Negro,2/28/1857,2,0,2,0.00602698,Cash,0.07477,1600,2
New Orleans,Louis Alfred Ducros,"New Orleans, LA",LA,New Orleans,M. Louis Octave Reggio,"New Orleans, LA",LA,30,M,Eugene,Negro,2/26/1857,5,2,7,0.006202525,Credit,0.07702264,1100,4
St. Charles,Alberic Duplantier,"St. Charles, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,20,M,Joby,Negro,2/27/1857,1,0,1,0.00602698,Cash,0.07477,1600,1
New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,New Orleans,Marie Angela Sardo,"New Orleans, LA",LA,19,F,Leonine,Negro,2/28/1857,1,0,1,0.00602698,Cash,0.07477,825,1
New Orleans,Marie Elina Chaffraix,"New Orleans, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,17,F,Fanny,Mulatto,3/2/1857,1,0,1,0.00602698,Cash,0.07477,1400,1
St. James,Joseph Cambre,"St. James, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,21,M,Prince,Negro,3/2/1857,1,0,1,0.00602698,Cash,0.07477,1250,1
St. James,Samuel Fagot,"St. James, LA",LA,New Orleans,Antoine Cyprien Tremoulet,"New Orleans, LA",LA,16,F,Therese,Negro,2/27/1857,1,0,1,0.006202525,Credit,0.07702264,900,1
New Orleans,John B. Womack,"New Orleans, LA",LA,Jefferson,Marie Justine Poche Keller,"Jefferson, LA",LA,18,F,Angela,Negro,3/3/1857,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,David Resolve Godwin,"New Orleans, LA",LA,Lafourche,John B. C. Gazzo,"Lafourche, LA",LA,35,F,Mary Miles,Griff,2/19/1857,1,0,1,0.00602698,Cash,0.07477,750,1
New Orleans,Marie Elizabeth Bertrand Sauvage,"New Orleans, LA",LA,St. Bernard,Charles Fierville Bienvenu,"St. Bernard, LA",LA,35,F,Maria,Negro,2/5/1857,1,3,4,0.00587886,Cash and Credit,0.07287264,1380,1
New Orleans,Marie Elizabeth Bertrand Sauvage,"New Orleans, LA",LA,St. Bernard,Francois Melicourt Bienvenu,"St. Bernard, LA",LA,35,F,Rose,Negro,2/5/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,630,1
New Orleans,Sophronia Lee Fearn Putnam,"New Orleans, LA",LA,New Orleans,Antoine Cuille,"New Orleans, LA",LA,12,F,Angela,Negro,2/26/1857,1,0,1,0.00602698,Cash,0.07477,650,1
New Orleans,William C. Tompkins,"New Orleans, LA",LA,New Orleans,James White,"New Orleans, LA",LA,38,F,Jane,Negro,3/3/1857,1,0,1,0.00602698,Cash,0.07477,1100,1
New Orleans,Simon Newburger,"New Orleans, LA",LA,New Orleans,Caroline Mayer Cahn,"New Orleans, LA",LA,46,F,Matilda,Negro,3/3/1857,1,0,1,0.00602698,Cash,0.07477,375,1
Nashville,Henry Blood,"Nashville, TN",TN,New Orleans,William J. Vason,"New Orleans, LA",LA,21,M,Albert,Mulatto,3/4/1857,1,0,1,0.00602698,Cash,0.07477,1250,1
Jackson,Auguston Mizell,"Jackson, MS",MS,New Orleans,Anestatia Tavares Moore,"New Orleans, LA",LA,19,F,Josephine,Griff,2/28/1857,1,0,1,0.00602698,Cash,0.07477,1000,1
Paris,Jean Henri Parlange,"Paris, France",France,Unknown,Charles Levistones,"Unknown, Unknown",Unknown,19,M,Henry,Unknown,12/26/1856,1,0,1,0.00602698,Cash,0.07477,725,1
Unknown,Thomas Sterling Morgan,"Unknown, Unknown",Unknown,New Orleans,Jean Lomelle Bouny,"New Orleans, LA",LA,29,F,Marie,Griff,3/2/1857,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,John Holmes,"New Orleans, LA",LA,New Orleans,Philadelphia Stuart Beard,"New Orleans, LA",LA,26,F,Martha/ Margaret,Negro,3/3/1857,1,0,1,0.006144047,Credit,0.07627176,900,1
New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,St. John,Jean Alcide St. Martin,"St. John, LA",LA,12,F,Jeannette,Griff,3/6/1857,1,0,1,0.00602698,Cash,0.07477,750,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,East Feliciana,Jonathon R. Montgomery,"East Feliciana, LA",LA,23,M,Dick,Negro,3/6/1857,1,0,1,0.00602698,Cash,0.07477,300,1
New Orleans,Myrtille Courcelle,"New Orleans, LA",LA,New Orleans,Heirs of Manuel Moreau Unknown,"New Orleans, LA",LA,51,M,Joe,Negro,3/7/1857,5,0,5,0.00602698,Cash,0.07477,0,1
New Orleans,James Martin,"New Orleans, LA",LA,New Orleans,Jackson M. Lanathan,"New Orleans, LA",LA,35,M,Friday,Negro,3/2/1857,1,0,1,0.00602698,Cash,0.07477,1000,1
New Orleans,John William Hincks,"New Orleans, LA",LA,Unknown,Louis Constant Adolphe Pecquet,"Unknown, Unknown",Unknown,30,F,Sarah,Negro,3/7/1857,1,2,3,0.00587886,Cash and Credit,0.07287264,1800,1
Pointe Coupee,William Horton,"Pointe Coupee, LA",LA,Fairfield,John Harrison,"Fairfield, SC",SC,17,M,Sam,Negro,3/7/1857,1,0,1,0.00602698,Cash,0.07477,1000,1
Tuscaloosa,James Fredell Long,"Tuscaloosa, AL",AL,New Orleans,John Louis Muller,"New Orleans, LA",LA,44,F,Agnes,Negro,3/5/1857,1,0,1,0.00602698,Cash,0.07477,400,1
Nashville,William Nichol,"Nashville, TN",TN,Richmond,Jeremiah Smith,"Richmond, VA",VA,23,M,John,Griff,3/4/1857,14,0,14,0.00602698,Cash,0.07477,2400,14
New Orleans,William E. Starke,"New Orleans, LA",LA,Baldwin,Cyrus Sibley,"Baldwin, AL",AL,19,M,Edwin,Brown,2/24/1857,1,0,1,0.00602698,Cash,0.07477,1500,1
Iberville,Dubuclet & Durand  Unknown,"Iberville, LA",LA,New Orleans,Myrtile Courcelle,"New Orleans, LA",LA,35,M,George,Mulatto,3/9/1857,1,0,1,0.00602698,Cash,0.07477,1500,1
New Orleans,Charles Emile Ruth,"New Orleans, LA",LA,New Orleans,Norah Dulany Generes,"New Orleans, LA",LA,25,F,Eleanor,Griff,3/7/1857,1,1,2,0.00602698,Cash,0.07477,1100,1
New Orleans,Charles Panin,"New Orleans, LA",LA,East Baton Rouge,Eleonore Mahier Lafiton,"East Baton Rouge, LA",LA,48,F,Rosette,Mulatto,3/3/1857,1,0,1,0.00602698,Cash,0.07477,682.5,1
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,Montgomery,Thomas A. Powell,"Montgomery, AL",AL,18,F,Leah,Negro,3/9/1857,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,Marie Eugenie Mathey Meinadier,"New Orleans, LA",LA,New Orleans,Joseph Henry Freyd,"New Orleans, LA",LA,20,F,Belle,Negro,3/5/1857,1,1,2,0.00602698,Cash,0.07477,1100,1
New Orleans,James Winchester Breedlove,"New Orleans, LA",LA,New Orleans,Olympe Francoise Mougneau Lelierre,"New Orleans, LA",LA,20,M,London,Negro,3/3/1857,1,0,1,0.00602698,Cash,0.07477,1400,1
New Orleans,Paul Marcus,"New Orleans, LA",LA,Jefferson,Marie Elizabeth Broussard,"Jefferson, LA",LA,12,F,Marie,Negro,3/7/1857,1,0,1,0.005761452,Cash and Credit,0.07137088,700,1
New Orleans,Patrick Coyle,"New Orleans, LA",LA,New Orleans,Lewis Goldsmith,"New Orleans, LA",LA,37,F,Susan Ward/ Suzanne Ward,Negro,3/9/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,650,1
St. Martin,"William W., Edmond Thomas King","St. Martin, LA",LA,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,18,F,Harriet Johnston,Negro,3/9/1857,2,0,2,0.006202525,Credit,0.07702264,1300,2
New Orleans,Juan Ygnacio  de Egana,"New Orleans, LA",LA,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,26,M,Peter,Negro,3/9/1857,10,0,10,0.006202525,Credit,0.07702264,1450,10
Houma,James Blahut,"Houma, LA",LA,Unknown,Meloncy Soniat Dufosat,"Unknown, Unknown",Unknown,29,F,Emilie Johnson,Negro,3/11/1857,1,0,1,0.006034301,Credit,0.07486386,950,1
New Orleans,William  Brothers,"New Orleans, LA",LA,New Orleans,Henry Rice,"New Orleans, LA",LA,28,M,Mak,Negro,3/10/1857,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Francis Michel Ziegler,"New Orleans, LA",LA,New Orleans,George Bischoff,"New Orleans, LA",LA,23,F,Gephirine/ Severine,Negro,3/11/1857,1,2,3,0.00602698,Cash,0.07477,1300,1
New Orleans,Thomas P. Aydlett,"New Orleans, LA",LA,New Orleans,John Gilbert Cocks,"New Orleans, LA",LA,28,F,Mary,Mulatto,3/7/1857,1,1,2,0.006187909,Credit,0.07683492,2416,1
Bossier,Norbert Francois Scopini,"Bossier, LA",LA,New Orleans,John Trabue Hatcher,"New Orleans, LA",LA,19,F,Leonine,Negro,3/12/1857,1,0,1,0.00602698,Cash,0.07477,1025,1
New Orleans,Elias Wolf,"New Orleans, LA",LA,New Orleans,Philip de Grand Pre,"New Orleans, LA",LA,36,F,Therese,Negro,3/12/1857,1,1,2,0.00602698,Cash,0.07477,1100,1
New Orleans,Frederic M. Thomas,"New Orleans, LA",LA,New Orleans,Gustave P. Marigny,"New Orleans, LA",LA,13,F,Julie,Negro,1/29/1857,1,0,1,0.00602698,Cash,0.07477,880,1
Washington,Thomas Shelby,"Washington, MS",MS,New Orleans,Mary E. Cabler Mardis,"New Orleans, LA",LA,15,F,Flora,Griff,3/12/1857,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Clementine Bonseigneur,"New Orleans, LA",LA,New Orleans,Henry H. Crocker,"New Orleans, LA",LA,26,F,Sarah,Negro,3/10/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,1000,1
Catahoula,David Marks,"Catahoula, LA",LA,New Orleans,"Emanuel, Hannah Rafel Adler","New Orleans, LA",LA,24,M,John,Negro,3/13/1857,1,0,1,0.00602698,Cash,0.07477,1100,1
New Orleans,Louis Armand Garidel,"New Orleans, LA",LA,New Orleans,Michel Joseph Lombard,"New Orleans, LA",LA,51,M,Edmond,Mulatto,3/4/1857,33,0,33,0.006580157,Credit,0.0818832,18745,1
Tuscaloosa,James Fredell Long,"Tuscaloosa, AL",AL,New Orleans,Samuel F. Hare,"New Orleans, LA",LA,22,M,Henry,Griff,3/16/1857,1,0,1,0.00602698,Cash,0.07477,650,1
Unknown,Edwin Barnard,"Unknown, Unknown",Unknown,New Orleans,Jeanne Felicianne Jorda Forneret,"New Orleans, LA",LA,22,M,Julien,Unknown,2/26/1857,1,0,1,0.00587886,Cash and Credit,0.07287264,795,1
New Orleans,William W. Loud,"New Orleans, LA",LA,Woodville,Jacob Schwarz,"Woodville, MS",MS,40,F,Kitty/ Clara,Negro,3/9/1857,1,0,1,0.00602698,Cash,0.07477,600,1
New Orleans,Dexter G. Hitchcock,"New Orleans, LA",LA,St. Louis,Thomas B. Taylor,"St. Louis, MS",MS,33,M,Sylvester,Mulatto,3/4/1857,1,0,1,0.006114795,Credit,0.07589632,500,1
Plaquemines,George Lanaux,"Plaquemines, LA",LA,New Orleans,Francoise Henriette Lemoine,"New Orleans, LA",LA,23,M,York Linsey,Negro,3/9/1857,1,0,1,0.00615867,Credit,0.07645948,1200,1
New Orleans,Pierre Edward Courcelle,"New Orleans, LA",LA,New Orleans,Myrtile Courcelle,"New Orleans, LA",LA,42,F,Jenny,Negro,3/10/1857,1,1,2,0.00587886,Cash and Credit,0.07287264,700,1
Plaquemines,Charles Regio,"Plaquemines, LA",LA,New Orleans,George Thomas Williams,"New Orleans, LA",LA,21,F,Laire,Negro,3/17/1857,1,1,2,0.00602698,Cash,0.07477,1200,1
New Orleans,David Resolve Godwin,"New Orleans, LA",LA,New Orleans,Rosalie Minet Brouker,"New Orleans, LA",LA,22,M,Henry Dins,Mulatto,3/20/1857,1,0,1,0.00602698,Cash,0.07477,950,1
Jackson,Benjamin Meyers,"Jackson, MS",MS,New Orleans,Francoise Alexandrine Eliza Crozet Magne,"New Orleans, LA",LA,40,F,Melite,Griff,3/20/1857,1,2,3,0.00602698,Cash,0.07477,2400,1
New Orleans,Lucy Ann Cheaton,"New Orleans, LA",LA,New Orleans,Alexander Hagan,"New Orleans, LA",LA,28,F,Martha,Griff,3/21/1857,4,0,4,0.00602698,Cash,0.07477,1200,4
Morehouse,Wolf Silbernagel,"Morehouse, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,24,F,Martha,Negro,3/23/1857,1,1,2,0.00602698,Cash,0.07477,1450,1
New Orleans,William Whann,"New Orleans, LA",LA,Plaquemines,Amos Torone,"Plaquemines, LA",LA,36,F,Jane,Griff,3/23/1857,2,0,2,0.00602698,Cash,0.07477,700,2
New Orleans,William Whann,"New Orleans, LA",LA,Plaquemines,Amos Torone,"Plaquemines, LA",LA,15,F,Josephine,Griff,3/23/1857,2,0,2,0.00602698,Cash,0.07477,900,2
Unknown,Paul Mouchon,"Unknown, Unknown",Unknown,Unknown,J. R. Borgetede,"Unknown, Unknown",Unknown,45,F,Miranda,Griff,12/27/1856,1,0,1,0.006054689,Cash and Credit,0.07512528,240,1
St. Charles,Mayronne Brothers  Unknown,"St. Charles, LA",LA,New Orleans,Jonathan Means Wilson,"New Orleans, LA",LA,19,M,Daniel Davis,Negro,3/23/1857,2,0,2,0.00602698,Cash,0.07477,1600,2
St. Charles,Mayronne Brothers  Unknown,"St. Charles, LA",LA,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,21,M,Lewis Brown,Negro,3/23/1857,6,0,6,0.00602698,Cash,0.07477,1590,6
Unknown,Archibald W. Darby,"Unknown, TX",TX,Green,Philip B. Minor,"Green, AL",AL,26,F,Kitty,Mulatto,3/21/1857,1,3,4,0.00602698,Cash,0.07477,1750,1
St. Charles,Brice Similien la Branche,"St. Charles, LA",LA,New Orleans,Palmyre Marie Brown Oxnard,"New Orleans, LA",LA,28,F,Suzanne,Mulatto,3/24/1857,1,3,4,0.00602698,Cash,0.07477,2000,1
New Orleans,Ellen S. Campbell,"New Orleans, LA",LA,New Orleans,Ruggles S. Morse,"New Orleans, LA",LA,29,M,John,Mulatto,3/24/1857,1,0,1,0.00602698,Cash,0.07477,1150,1
New Orleans,Lewis Snapp,"New Orleans, LA",LA,New Orleans,James H. Chapman,"New Orleans, LA",LA,39,F,Marguerite,Griff,3/24/1857,1,0,1,0.00602698,Cash,0.07477,600,1
St. Tammany,Susan Evens Chiles Bartholomew,"St. Tammany, LA",LA,New Orleans,Charles Francis Hatcher,"New Orleans, LA",LA,42,F,Mary,Negro,3/20/1857,1,0,1,0.00602698,Cash,0.07477,500,1
New Orleans,Joseph Elliot,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,24,M,Simon,Griff,3/17/1857,1,0,1,0.00602698,Cash,0.07477,1300,1
New Orleans,Lawrence Prendergast,"New Orleans, LA",LA,New Orleans,Ellen S. Campbell,"New Orleans, LA",LA,29,M,John,Mulatto,3/24/1857,1,0,1,0.00602698,Cash,0.07477,1150,1
New Orleans,John Barnett Murison,"New Orleans, LA",LA,New Orleans,David Resolve Godwin,"New Orleans, LA",LA,35,F,Mary Miles,Griff,3/12/1857,1,0,1,0.00602698,Cash,0.07477,1025,1
New Orleans,James Daldey,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,27,F,Maria,Negro,3/14/1857,1,0,1,0.00602698,Cash,0.07477,900,1
New Orleans,James Daldey,"New Orleans, LA",LA,Unknown,Joseph Richard Hardy Porter,"Unknown, MO",MO,26,M,Daniel,Unknown,3/23/1857,2,0,2,0.00602698,Cash,0.07477,1250,2
New Orleans,Alfred Dellande,"New Orleans, LA",LA,New Orleans,Charles Hyllested,"New Orleans, LA",LA,42,F,Charlotte,Negro,3/25/1857,1,1,2,0.005790818,Cash and Credit,0.07174632,1260,1
Washington,William B. Smith,"Washington, MS",MS,Baltimore,Bernard Moore Campbell,"Baltimore, MD",MD,16,M,John Smith,Negro,3/24/1857,5,0,5,0.00602698,Cash,0.07477,1450,5
New Orleans,Jose Jesus Fernandez,"New Orleans, LA",LA,New Orleans,Joseph Llado,"New Orleans, LA",LA,33,M,Henry Miller,Negro,3/26/1857,1,0,1,0.00602698,Cash,0.07477,800,1
New Orleans,Robert Spence,"New Orleans, LA",LA,St. Helena,Elisha Bennett,"St. Helena, LA",LA,21,M,James,Negro,3/26/1857,1,0,1,0.00602698,Cash,0.07477,700,1
Jackson,Benjamin Meyers,"Jackson, MS",MS,Iberville,Henry E. Henning,"Iberville, LA",LA,30,F,Maryann,Negro,3/26/1857,1,2,3,0.00602698,Cash,0.07477,1400,1
Iberville,Jesse Hart,"Iberville, LA",LA,New Orleans,Minor children of Theresa Stringer McDonald Bradfute Unknown,"New Orleans, LA",LA,27,F,Hannah,Unknown,2/2/1857,1,1,2,0.00602698,Cash,0.07477,1900,1
New Orleans,Adelaide Brown,"New Orleans, LA",LA,New Orleans,Nicolas Bastanzi,"New Orleans, LA",LA,33,F,Daphne,Negro,3/20/1857,1,0,1,0.00602698,Cash,0.07477,505,1
New Orleans,E. Henry Roquest,"New Orleans, LA",LA,New Orleans,Antoinette Boutin,"New Orleans, LA",LA,39,F,Marie Louise,Negro,3/23/1857,1,0,1,0.005790818,Cash and Credit,0.07174632,1000,1
New Orleans,Edward Jenna Coxe,"New Orleans, LA",LA,New Orleans,Mary Eliza Davis Randall,"New Orleans, LA",LA,22,M,Moses,Negro,3/19/1857,1,0,1,0.00602698,Cash,0.07477,1200,1
Avoyelles,Joseph L. B. Kirk,"Avoyelles, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,18,M,Joe,Negro,3/26/1857,6,4,10,0.005849522,Cash and Credit,0.0724972,1225,5
New Orleans,James Fredell Long,"New Orleans, LA",LA,New Orleans,Josephine Garcia Baldwin,"New Orleans, LA",LA,28,F,Lucille/ Lucy,Griff,3/23/1857,1,0,1,0.00602698,Cash,0.07477,600,1
New Orleans,Henry de Gruy,"New Orleans, LA",LA,New Orleans,Jeanne Mustiere Leduc,"New Orleans, LA",LA,15,F,Louise,Griff,3/4/1857,1,0,1,0.00602698,Cash,0.07477,900,1
East Feliciana,Archibald D. Palmer,"East Feliciana, LA",LA,New Orleans,Oakey Hawkins (Co.) Unknown,"New Orleans, LA",LA,27,M,Henry,Negro,3/31/1857,4,0,4,0.00602698,Cash,0.07477,1100,4
New Orleans,Lewis Neville Shelton,"New Orleans, LA",LA,New Orleans,Jean Bernard Couret,"New Orleans, LA",LA,26,M,Ellick,Griff,3/27/1857,1,0,1,0.00602698,Cash,0.07477,1050,1
Lafourche,Joseph Martinez,"Lafourche, LA",LA,New Orleans,Clement Antoine Lanusse,"New Orleans, LA",LA,29,M,Alexis,Negro,3/30/1857,1,0,1,0.00602698,Cash,0.07477,1200,1
New Orleans,Elie Farault Lavillebeurre,"New Orleans, LA",LA,New York,"William, Jacob Davis, Jackson","New York, NY",NY,30,F,Nanette,Negro,3/26/1857,1,0,1,0.00602698,Cash,0.07477,791.5,1
Iberville,O. French Hornsby,"Iberville, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,18,M,Jim,Negro,4/1/1857,1,0,1,0.00602698,Cash,0.07477,1300,1
St. Mary,William Taylor Palfrey,"St. Mary, LA",LA,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,22,M,Andrew,Negro,4/1/1857,3,0,3,0.00602698,Cash,0.07477,4425,1
New Orleans,Robert Spence,"New Orleans, LA",LA,New Orleans,Maris Tereza Artis de Larata Taylor,"New Orleans, LA",LA,28,M,Garrett,Negro,3/27/1857,1,0,1,0.00602698,Cash,0.07477,700,1
New Orleans,Jean Petit,"New Orleans, LA",LA,New Orleans,Paul Hippolyte Monsseaux,"New Orleans, LA",LA,35,M,John,Mulatto,3/17/1857,1,0,1,0.006202525,Credit,0.07702264,750,1
New Orleans,Barbe Thevenot,"New Orleans, LA",LA,New Orleans,Francoise Alexandrine Eliza Crozet Magne,"New Orleans, LA",LA,32,F,Maria,Griff,3/26/1857,1,1,2,0.00602698,Cash,0.07477,1200,1
New Orleans,McCan & Patterson  Unknown,"New Orleans, LA",LA,New Orleans,James McFee,"New Orleans, LA",LA,26,M,Bob,Negro,4/1/1857,1,0,1,0.00602698,Cash,0.07477,1500,1
New Orleans,Anny Unknown,"New Orleans, LA",LA,New Orleans,Johanna Maria Debott Philips,"New Orleans, LA",LA,41,M,Isaac,Negro,4/2/1857,1,0,1,0.00602698,Cash,0.07477,500,1
Claiborne,Eliza B. Fellowes Ingraham,"Claiborne, MS",MS,Augusta,Nelson Clement Trowbridge,"Augusta, GA",GA,24,M,Jim,Negro,3/31/1857,5,0,5,0.00602698,Cash,0.07477,1400,5
New Orleans,Auguste Ferrier,"New Orleans, LA",LA,New Orleans,Augustin Rousseau,"New Orleans, LA",LA,24,M,Janvier,Griff,4/3/1857,1,0,1,0.00602698,Cash,0.07477,1100,1
New Orleans,Herman Lion,"New Orleans, LA",LA,New Orleans,Bernard Kendig,"New Orleans, LA",LA,25,F,Charlotte,Unknown,4/3/1857,1,0,1,0.00602698,Cash,0.07477,1050,1
New Orleans,Samuel Choppin,"New Orleans, LA",LA,New Orleans,Shepherd Brown,"New Orleans, LA",LA,30,M,Ralph,Griff,4/1/1857,1,0,1,0.006202525,Credit,0.07702264,900,1
