OrderNumber,Sales Channel,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost,Customer_Names,City_Name,County,State,Type,Latitude,Longitude,AreaCode,Population,Household_Income,Median_Income,Land_Area,Water_Area,Time_Zone,Product_Name,Sales_Team,Region,Procured_Year,Order_Year,Order_Month,Month,Order_Month_Name,Supply Duration,Sales
SO - 0007535,Online,2020-06-18,2020-10-27,2020-11-08,2020-11-09,19,26,245,18,8,0.2,201.0,102.51,Mylan Corp,Newark,Essex County,New Jersey,City,40.73566,-74.17237,973,281944,92675,33139,62531085,4509710,America/New York,Basketball,Nicholas Cunningham,South,2020,2020,10,June,October,13,1608.0
SO - 0005397,Online,2019-12-01,2020-02-19,2020-03-03,2020-03-11,19,35,31,18,5,0.075,1989.9,994.95,Amylin Group,Elk Grove,Sacramento County,California,City,38.4088,-121.37162,916,166913,49316,79487,109287233,120267,America/Los Angeles,Basketball,Nicholas Cunningham,South,2019,2020,2,December,February,21,9949.5
SO - 0007697,Online,2020-06-18,2020-11-14,2020-11-30,2020-12-02,19,36,209,18,4,0.2,3470.6,2221.184,O.E. Ltd,Springfield,Hampden County,Massachusetts,City,42.10148,-72.58981,413,154341,55644,34728,82538680,3142825,America/New York,Basketball,Nicholas Cunningham,South,2020,2020,11,June,November,18,13882.4
SO - 0002551,Online,2018-10-27,2019-03-15,2019-03-23,2019-03-28,19,6,24,18,8,0.4,3859.2000000000003,1929.6000000000001,"PEDIFIX, Corp",Concord,Contra Costa County,California,City,37.97798,-122.03107,925,128667,45409,68318,79108534,0,America/Los Angeles,Basketball,Nicholas Cunningham,South,2018,2019,3,October,March,13,30873.600000000002
SO - 0001056,Online,2018-04-10,2018-09-19,2018-10-07,2018-10-12,19,50,278,18,8,0.075,2881.0,1325.26,Sundial ,Akron,Summit County,Ohio,City,41.08144,-81.51901,330,197542,83684,34512,160659689,880527,America/New York,Basketball,Nicholas Cunningham,South,2018,2018,9,April,September,23,23048.0
SO - 0006189,Online,2020-03-10,2020-05-23,2020-06-11,2020-06-14,19,47,208,18,1,0.075,837.5,661.625,Niconovum Corp,Lowell,Middlesex County,Massachusetts,City,42.63342,-71.31617,351,110699,38489,48002,35187375,2442614,America/New York,Basketball,Nicholas Cunningham,South,2020,2020,5,March,May,22,837.5
SO - 0007990,Online,2020-09-26,2020-12-19,2021-01-08,2021-01-11,19,47,116,18,5,0.075,3993.2000000000003,2395.92,Niconovum Corp,Clearwater,Pinellas County,Florida,City,27.97895,-82.76657,727,113003,46234,44198,67027321,36469162,America/New York,Basketball,Nicholas Cunningham,South,2020,2020,12,September,December,23,19966.0
SO - 0006644,Online,2020-03-10,2020-07-14,2020-08-02,2020-08-03,19,18,7,47,3,0.075,5507.400000000001,2533.4040000000005,Eminence Corp,Gilbert,Maricopa County,Arizona,Town,33.35283,-111.78903,480,247542,73617,82424,176124143,510475,America/Phoenix,Audio,Nicholas Cunningham,South,2020,2020,7,March,July,20,16522.2
SO - 0001439,Online,2018-07-19,2018-11-07,2018-11-13,2018-11-20,19,9,89,47,1,0.15,2633.1,2080.149,Ei ,West Covina,Los Angeles County,California,City,34.06862,-117.93895,626,108484,30816,69189,41546642,124507,America/Los Angeles,Audio,Nicholas Cunningham,South,2018,2018,11,July,November,13,2633.1
SO - 0001863,Online,2018-10-27,2018-12-25,2019-01-12,2019-01-18,19,20,286,1,3,0.05,958.1,584.441,Pacific Ltd,Oklahoma City,Canadian County/Pottawatomie County/Oklahoma County/Cleveland County,Oklahoma,City,35.46708,-97.51366,405,631346,232254,47779,1570317627,37245501,America/Chicago,Cookware,Nicholas Cunningham,South,2018,2018,12,October,December,24,2874.3
SO - 0007047,Online,2020-03-10,2020-08-31,2020-09-06,2020-09-15,19,11,63,1,1,0.1,174.20000000000002,128.90800000000002,Apollo Ltd,Richmond,Contra Costa County,California,City,37.93576,-122.34775,510,109708,36973,55102,77834895,58171749,America/Los Angeles,Cookware,Nicholas Cunningham,South,2020,2020,8,March,August,15,174.20000000000002
SO - 0001664,Online,2018-07-19,2018-12-04,2018-12-07,2018-12-11,19,43,137,1,2,0.15,2224.4,1890.74,"Exact-Rx, Corp",Tampa,Hillsborough County,Florida,City,27.94752,-82.45843,813,369075,142232,44185,293748385,160056620,America/New York,Cookware,Nicholas Cunningham,South,2018,2018,12,July,December,7,4448.8
SO - 0007668,Online,2020-06-18,2020-11-11,2020-11-29,2020-12-04,19,4,367,1,6,0.05,3959.7000000000003,2138.2380000000003,ETUDE Ltd,Milwaukee,Milwaukee County/Washington County/Waukesha County,Wisconsin,City,43.06335,-87.9667,414,600155,230807,35958,249128870,1720458,America/Chicago,Cookware,Nicholas Cunningham,South,2020,2020,11,June,November,23,23758.2
SO - 0001174,Online,2018-04-10,2018-10-03,2018-10-13,2018-10-18,19,3,141,1,4,0.15,924.6,564.006,"Elorac, Corp",Augusta,Richmond County,Georgia,Consolidated Government,33.36149,-82.075,706,201793,73917,39464,840008393,11042219,America/New York,Cookware,Nicholas Cunningham,South,2018,2018,10,April,October,15,3698.4
SO - 0004642,Online,2019-08-23,2019-11-23,2019-11-30,2019-12-03,19,33,122,1,2,0.15,964.8000000000001,405.216,Trigen ,Hollywood,Broward County,Florida,City,26.0112,-80.14949,954,149728,55823,46791,70639073,8937087,America/New York,Cookware,Nicholas Cunningham,South,2019,2019,11,August,November,10,1929.6000000000001
SO - 0001092,Online,2018-04-10,2018-09-24,2018-10-09,2018-10-13,19,40,306,1,4,0.05,1896.1000000000001,1592.7240000000002,Select ,Nashville,Davidson County,Tennessee,Metropolitan Government,36.16913,-86.78479,615,678889,248677,41759,1304953365,56649279,America/Chicago,Cookware,Nicholas Cunningham,South,2018,2018,9,April,September,19,7584.400000000001
SO - 000605,Online,2018-04-10,2018-07-29,2018-08-20,2018-08-24,19,34,153,34,4,0.1,938.0,478.38,OUR Ltd,Bloomingdale (Township),DuPage County,Illinois,Township,41.94563,-88.08462,630,113024,40097,68474,88284784,3206299,America/Chicago,Bedroom Furniture,Nicholas Cunningham,South,2018,2018,7,April,July,26,3752.0
SO - 0006010,Online,2019-12-01,2020-04-30,2020-05-26,2020-05-27,19,17,85,34,4,0.05,6304.7,3026.256,Pure Group,Vallejo,Solano County,California,City,38.10409,-122.25664,707,121253,41216,57028,79438815,48871171,America/Los Angeles,Bedroom Furniture,Nicholas Cunningham,South,2019,2020,4,December,April,27,25218.8
SO - 0005421,Online,2019-12-01,2020-02-21,2020-02-23,2020-02-26,19,34,312,34,8,0.075,3999.9,2799.93,OUR Ltd,Brownsville,Cameron County,Texas,City,25.90175,-97.49748,956,183887,51563,32894,343092656,35763836,America/Chicago,Bedroom Furniture,Nicholas Cunningham,South,2019,2020,2,December,February,5,31999.2
SO - 0004490,Online,2019-08-23,2019-11-05,2019-11-19,2019-11-28,19,18,16,34,4,0.05,3095.4,2631.09,Eminence Corp,Anaheim,Orange County,California,City,33.83529,-117.9145,657,350742,99670,60752,129438076,2457142,America/Los Angeles,Bedroom Furniture,Nicholas Cunningham,South,2019,2019,11,August,November,23,12381.6
SO - 0004977,Online,2019-08-23,2020-01-02,2020-01-12,2020-01-13,19,21,37,34,1,0.1,1139.0,466.98999999999995,Ohio ,Fresno,Fresno County,California,City,36.74773,-119.77237,559,520052,161914,41531,296267437,732167,America/Los Angeles,Bedroom Furniture,Nicholas Cunningham,South,2019,2020,1,August,January,11,1139.0
SO - 0004898,Online,2019-08-23,2019-12-23,2019-12-27,2019-12-31,19,7,226,34,4,0.05,797.3000000000001,677.705,New Ltd,St. Louis,St. Louis city,Missouri,City,38.62727,-90.19789,314,315685,139555,35599,160458044,10670040,America/Chicago,Bedroom Furniture,Nicholas Cunningham,South,2019,2019,12,August,December,8,3189.2000000000003
SO - 0002158,Online,2018-10-27,2019-01-23,2019-02-03,2019-02-05,19,12,346,34,5,0.075,676.7,433.088,Medline ,Salt Lake City,Salt Lake County,Utah,City,40.76078,-111.89105,385,192672,75330,47243,288044514,1216737,America/Denver,Bedroom Furniture,Nicholas Cunningham,South,2018,2019,1,October,January,13,3383.5
SO - 0004818,Online,2019-08-23,2019-12-14,2020-01-06,2020-01-16,19,26,138,20,3,0.15,247.9,131.387,Mylan Corp,West Palm Beach,Palm Beach County,Florida,City,26.71534,-80.05337,561,106779,41474,45800,142798170,6628847,America/New York,Bar Tools,Nicholas Cunningham,South,2019,2019,12,August,December,33,743.7
SO - 0005784,Online,2019-12-01,2020-04-04,2020-04-23,2020-04-24,19,1,356,20,5,0.075,1025.1000000000001,563.8050000000002,Avon Corp,Virginia Beach,Virginia Beach city,Virginia,City,36.85293,-75.97799,757,452745,166242,66634,633821720,654694207,America/New York,Bar Tools,Nicholas Cunningham,South,2019,2020,4,December,April,20,5125.500000000001
SO - 0001188,Online,2018-07-19,2018-10-06,2018-10-27,2018-11-06,19,17,54,20,4,0.3,1025.1000000000001,789.3270000000001,Pure Group,Oceanside,San Diego County,California,City,33.19587,-117.37948,760,175691,60493,57703,106841893,2392242,America/Los Angeles,Bar Tools,Nicholas Cunningham,South,2018,2018,10,July,October,31,4100.400000000001
SO - 000304,Online,2018-04-10,2018-06-25,2018-07-18,2018-07-21,19,5,66,20,2,0.075,1902.8,970.428,Procter Corp,Sacramento,Sacramento County,California,City,38.58157,-121.4944,530,490712,178185,50739,253621861,5651667,America/Los Angeles,Bar Tools,Nicholas Cunningham,South,2018,2018,6,April,June,26,3805.6
SO - 0001237,Online,2018-07-19,2018-10-13,2018-11-02,2018-11-12,19,18,12,20,3,0.2,5628.0,4108.44,Eminence Corp,Scottsdale,Maricopa County,Arizona,City,33.50921,-111.89903,480,236839,102424,73288,476410748,1220280,America/Phoenix,Bar Tools,Nicholas Cunningham,South,2018,2018,10,July,October,30,16884.0
SO - 0004863,Online,2019-08-23,2019-12-19,2019-12-24,2019-12-26,19,26,173,39,7,0.4,2324.9,1441.438,Mylan Corp,Rockford,Winnebago County/Ogle County,Illinois,City,42.25884,-89.06455,815,148278,58559,38716,164382960,2627885,America/Chicago,Floor Lamps,Nicholas Cunningham,South,2019,2019,12,August,December,7,16274.300000000001
SO - 0006840,Online,2020-03-10,2020-08-06,2020-08-11,2020-08-17,19,12,237,39,6,0.075,2606.3,1329.2130000000002,Medline ,Winston-Salem,Forsyth County,North Carolina,City,36.09986,-80.24422,336,241218,93267,39882,343173025,3173027,America/New York,Floor Lamps,Nicholas Cunningham,South,2020,2020,8,March,August,11,15637.800000000001
SO - 0002899,Online,2019-02-04,2019-04-26,2019-05-17,2019-05-26,19,43,366,39,1,0.3,4020.0,2814.0,"Exact-Rx, Corp",Madison,Dane County,Wisconsin,City,43.07305,-89.40123,608,248951,104087,54896,199339279,44491310,America/Chicago,Floor Lamps,Nicholas Cunningham,South,2019,2019,4,February,April,30,4020.0
SO - 0002808,Online,2019-02-04,2019-04-15,2019-05-12,2019-05-17,19,15,97,39,6,0.2,991.6,694.12,Rochester Ltd,Greeley,Weld County,Colorado,City,40.42331,-104.70913,970,100883,33774,48813,123893579,314890,America/Denver,Floor Lamps,Nicholas Cunningham,South,2019,2019,4,February,April,32,5949.6
SO - 0007872,Online,2020-09-26,2020-12-04,2020-12-23,2020-12-25,19,16,246,39,2,0.075,5922.8,3849.82,"3LAB, Ltd",Paterson,Passaic County,New Jersey,City,40.91677,-74.17181,973,147754,43037,32915,21790122,762701,America/New York,Floor Lamps,Nicholas Cunningham,South,2020,2020,12,September,December,21,11845.6
SO - 0004720,Online,2019-08-23,2019-12-01,2019-12-16,2019-12-26,19,6,355,39,4,0.075,1058.6000000000001,592.8160000000001,"PEDIFIX, Corp",Richmond,Richmond city,Virginia,City,37.55376,-77.46026,804,220289,87224,40758,154942138,6879776,America/New York,Floor Lamps,Nicholas Cunningham,South,2019,2019,12,August,December,25,4234.400000000001
SO - 0006796,Online,2020-03-10,2020-07-31,2020-08-20,2020-08-26,19,35,95,39,6,0.15,5735.2,4416.104,Amylin Group,Denver,Denver County,Colorado,City,39.73915,-104.9847,303,682545,275795,53637,397133930,4225831,America/Denver,Floor Lamps,Nicholas Cunningham,South,2020,2020,7,March,July,26,34411.2
SO - 0004262,Online,2019-05-15,2019-10-06,2019-10-28,2019-11-05,19,10,279,39,7,0.075,5286.3,2590.2870000000003,21st Ltd,Cincinnati,Hamilton County,Ohio,City,39.162,-84.45689,513,298550,133039,33604,200434440,4155432,America/New York,Floor Lamps,Nicholas Cunningham,South,2019,2019,10,May,October,30,37004.1
SO - 0006984,Online,2020-06-18,2020-08-24,2020-09-08,2020-09-11,19,37,223,39,4,0.1,911.2,473.824,AuroMedics Corp,Independence,Jackson County/Clay County,Missouri,City,39.08547,-94.3521,816,117255,48313,43472,201595640,1162419,America/Chicago,Floor Lamps,Nicholas Cunningham,South,2020,2020,8,June,August,18,3644.8
SO - 0005380,Online,2019-12-01,2020-02-17,2020-02-24,2020-03-05,19,37,281,16,3,0.15,1118.9,951.065,AuroMedics Corp,Columbus,Delaware County/Franklin County/Fairfield County,Ohio,City,39.98524,-82.98477,614,850106,334724,45659,565783587,15247719,America/New York,Stemware,Nicholas Cunningham,South,2019,2020,2,December,February,17,3356.7000000000003
SO - 0003759,Online,2019-02-04,2019-08-04,2019-08-16,2019-08-23,19,43,298,16,6,0.15,1246.2,598.176,"Exact-Rx, Corp",Columbia,Lexington County/Richland County,South Carolina,City,34.0291,-80.89804,803,133803,44506,41260,345805347,6998722,America/New York,Stemware,Nicholas Cunningham,South,2019,2019,8,February,August,19,7477.200000000001
SO - 0003146,Online,2019-02-04,2019-05-23,2019-06-02,2019-06-10,19,16,45,16,8,0.075,5983.1,3111.2120000000004,"3LAB, Ltd",Jurupa Valley,Riverside County,California,City,34.00259,-117.46761,951,100314,24839,57749,111216400,1914744,America/Los Angeles,Stemware,Nicholas Cunningham,South,2019,2019,5,February,May,18,47864.8
SO - 0007126,Online,2020-06-18,2020-09-10,2020-10-01,2020-10-10,19,6,367,16,2,0.075,1855.9,1113.54,"PEDIFIX, Corp",Milwaukee,Milwaukee County/Washington County/Waukesha County,Wisconsin,City,43.06335,-87.9667,414,600155,230807,35958,249128870,1720458,America/Chicago,Stemware,Nicholas Cunningham,South,2020,2020,9,June,September,30,3711.8
SO - 0004670,Online,2019-08-23,2019-11-26,2019-12-10,2019-12-18,19,49,278,16,7,0.05,2579.5,2037.805,Bare ,Akron,Summit County,Ohio,City,41.08144,-81.51901,330,197542,83684,34512,160659689,880527,America/New York,Stemware,Nicholas Cunningham,South,2019,2019,11,August,November,22,18056.5
SO - 000153,Online,2018-04-10,2018-06-05,2018-06-21,2018-07-01,19,8,111,16,5,0.05,3926.2000000000003,3062.436,Medsep Group,Waterbury,New Haven County,Connecticut,City,41.55815,-73.0515,203,108802,40213,40467,73880017,1086045,America/New York,Stemware,Nicholas Cunningham,South,2018,2018,6,April,June,26,19631.0
SO - 0006025,Online,2020-03-10,2020-05-03,2020-05-28,2020-06-03,19,41,37,16,1,0.05,3222.7000000000003,2610.387,Weimei Corp,Fresno,Fresno County,California,City,36.74773,-119.77237,559,520052,161914,41531,296267437,732167,America/Los Angeles,Stemware,Nicholas Cunningham,South,2020,2020,5,March,May,31,3222.7000000000003
SO - 0007467,Online,2020-06-18,2020-10-19,2020-11-03,2020-11-11,19,45,259,21,4,0.15,1038.5,425.78499999999997,Nipro ,Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York,Floral,Nicholas Cunningham,South,2020,2020,10,June,October,23,4154.0
SO - 0004772,Online,2019-08-23,2019-12-08,2019-12-30,2020-01-06,19,41,318,21,6,0.075,3973.1,2781.1699999999996,Weimei Corp,El Paso,El Paso County,Texas,City,31.75872,-106.48693,915,681124,220682,42772,665041415,2247591,America/Denver,Floral,Nicholas Cunningham,South,2019,2019,12,August,December,29,23838.6
SO - 0007404,Online,2020-06-18,2020-10-11,2020-11-08,2020-11-18,19,4,265,21,3,0.05,5936.2,3561.72,ETUDE Ltd,Islip,Suffolk County,New York,Town,40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,America/New York,Floral,Nicholas Cunningham,South,2020,2020,10,June,October,38,17808.6
SO - 000373,Online,2018-04-10,2018-07-02,2018-07-08,2018-07-11,19,6,39,21,5,0.3,227.8,134.402,"PEDIFIX, Corp",Garden Grove,Orange County,California,City,33.77391,-117.94145,657,175393,46998,58449,46508935,45894,America/Los Angeles,Floral,Nicholas Cunningham,South,2018,2018,7,April,July,9,1139.0
SO - 0003807,Online,2019-05-15,2019-08-10,2019-09-06,2019-09-16,19,20,323,21,6,0.1,1105.5,795.9599999999999,Pacific Ltd,Houston,Fort Bend County/Harris County/Montgomery County,Texas,City,29.78664,-95.3909,832,2296224,814599,46187,1651228436,73316071,America/Chicago,Floral,Nicholas Cunningham,South,2019,2019,8,May,August,37,6633.0
SO - 0005260,Online,2019-08-23,2020-02-03,2020-02-20,2020-02-23,19,12,261,21,7,0.05,2278.0,1070.6599999999999,Medline ,Brooklyn,Kings County,New York,Borough,40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,America/New York,Floral,Nicholas Cunningham,South,2019,2020,2,August,February,20,15946.0
SO - 0004004,Online,2019-05-15,2019-09-03,2019-09-18,2019-09-20,19,4,221,21,1,0.075,2767.1,1743.273,ETUDE Ltd,St. Paul,Ramsey County,Minnesota,City,44.94441,-93.09327,651,300851,112988,48757,134612878,10884750,America/Chicago,Floral,Nicholas Cunningham,South,2019,2019,9,May,September,17,2767.1
SO - 0004205,Online,2019-08-23,2019-09-29,2019-10-25,2019-10-27,19,10,151,21,4,0.05,6083.6,4562.700000000001,21st Ltd,Aurora,Kendall County/Kane County/Will County/DuPage County,Illinois,City,41.76346,-88.2901,630,200661,61449,63090,116273603,2278285,America/Chicago,Floral,Nicholas Cunningham,South,2019,2019,9,August,September,28,24334.4
SO - 0006642,Online,2020-03-10,2020-07-14,2020-08-09,2020-08-19,19,27,34,21,3,0.1,2505.8,1804.1760000000002,Wuxi Group,Fairfield,Solano County,California,City,38.24936,-122.03997,707,112970,34623,67364,105971964,696390,America/Los Angeles,Floral,Nicholas Cunningham,South,2020,2020,7,March,July,36,7517.400000000001
SO - 0002842,Online,2019-02-04,2019-04-20,2019-05-15,2019-05-24,19,4,310,13,5,0.05,1018.4,427.72799999999995,ETUDE Ltd,Austin,Hays County/Williamson County/Travis County,Texas,City,30.30394,-97.75436,512,931830,351195,57689,809976356,17536404,America/Chicago,Bakeware,Nicholas Cunningham,South,2019,2019,4,February,April,34,5092.0
SO - 0004797,Online,2019-08-23,2019-12-11,2020-01-01,2020-01-04,19,49,91,13,8,0.075,201.0,98.49,Bare ,Aurora,Adams County/Douglas County/Arapahoe County,Colorado,City,39.688,-104.68974,303,359407,124031,53011,397624166,1731418,America/Denver,Bakeware,Nicholas Cunningham,South,2019,2019,12,August,December,24,1608.0
SO - 0004461,Online,2019-08-23,2019-11-01,2019-11-20,2019-11-29,19,4,213,13,7,0.15,2438.8,1414.504,ETUDE Ltd,Ann Arbor,Washtenaw County,Michigan,City,42.27087,-83.72633,734,117070,47179,55990,72727009,2254528,America/Detroit,Bakeware,Nicholas Cunningham,South,2019,2019,11,August,November,28,17071.600000000002
SO - 0004935,Online,2019-08-23,2019-12-28,2020-01-12,2020-01-19,19,48,58,13,8,0.05,5326.5,4367.73,"Fenwal, Corp",Palmdale,Los Angeles County,California,City,34.57943,-118.11646,661,158351,42720,52392,274452754,633935,America/Los Angeles,Bakeware,Nicholas Cunningham,South,2019,2019,12,August,December,22,42612.0
SO - 0004216,Online,2019-05-15,2019-09-30,2019-10-21,2019-10-22,19,5,308,13,1,0.05,6237.7,5052.537,Procter Corp,Amarillo,Randall County/Potter County,Texas,City,35.19988,-101.8302,806,198645,74769,47735,262507124,4049009,America/Chicago,Bakeware,Nicholas Cunningham,South,2019,2019,9,May,September,22,6237.7
SO - 0003515,Online,2019-05-15,2019-07-06,2019-07-24,2019-07-25,19,30,257,13,3,0.1,1956.4,782.5600000000001,S.S.S. Group,Sunrise Manor,Clark County,Nevada,CDP,36.21108,-115.07306,702,187647,60366,39586,86444651,0,America/Los Angeles,Bakeware,Nicholas Cunningham,South,2019,2019,7,May,July,19,5869.200000000001
SO - 0002569,Online,2018-10-27,2019-03-16,2019-04-02,2019-04-11,19,13,227,13,2,0.1,1762.1000000000001,1321.575,Ole Group,Jackson,Rankin County/Hinds County/Madison County,Mississippi,City,32.31583,-90.21282,769,170674,62671,32250,287614760,5655837,America/Chicago,Bakeware,Nicholas Cunningham,South,2018,2019,3,October,March,26,3524.2000000000003
SO - 0002391,Online,2018-10-27,2019-02-20,2019-03-03,2019-03-07,19,12,274,24,8,0.15,1118.9,671.34,Medline ,Staten Island,Richmond County,New York,Borough,40.57628,-74.14484,718,474558,156341,55039,152000000,110000000,America/New York,Wall Frames,Nicholas Cunningham,South,2018,2019,2,October,February,15,8951.2
SO - 0003242,Online,2019-02-04,2019-06-02,2019-06-09,2019-06-16,19,40,22,24,7,0.15,2827.4,1781.2620000000002,Select ,Chula Vista,San Diego County,California,City,32.64,-117.08417,619,265757,78066,65185,128544440,6380135,America/Los Angeles,Wall Frames,Nicholas Cunningham,South,2019,2019,6,February,June,14,19791.8
SO - 0007805,Online,2020-09-26,2020-11-25,2020-12-15,2020-12-22,19,37,363,24,2,0.05,3999.9,3239.9190000000003,AuroMedics Corp,Tacoma,Pierce County,Washington,City,47.25288,-122.44429,253,207948,79026,52042,128821146,32854483,America/Los Angeles,Wall Frames,Nicholas Cunningham,South,2020,2020,11,September,November,27,7999.8
SO - 0002475,Online,2018-10-27,2019-03-02,2019-03-15,2019-03-19,19,36,110,24,7,0.05,5628.0,4333.56,O.E. Ltd,Stamford (Town),Fairfield County,Connecticut,Town,41.07986,-73.54603,203,128874,46974,79359,97430571,37323740,America/New York,Wall Frames,Nicholas Cunningham,South,2018,2019,3,October,March,17,39396.0
SO - 000857,Online,2018-04-10,2018-08-26,2018-09-13,2018-09-18,19,36,210,24,3,0.3,3979.8,3223.6380000000004,O.E. Ltd,Worcester,Worcester County,Massachusetts,City,42.26259,-71.80229,774,184815,68576,45472,96758525,2814766,America/New York,Wall Frames,Nicholas Cunningham,South,2018,2018,8,April,August,23,11939.400000000001
SO - 0007712,Online,2020-06-18,2020-11-16,2020-12-13,2020-12-14,19,45,202,24,3,0.1,3289.7000000000003,1677.747,Nipro ,Lafayette,Lafayette Parish,Louisiana,City,30.22409,-92.01984,337,127657,50025,46517,139369271,259576,America/Chicago,Wall Frames,Nicholas Cunningham,South,2020,2020,11,June,November,28,9869.1
SO - 0002154,Online,2018-10-27,2019-01-23,2019-02-11,2019-02-14,19,36,252,25,3,0.05,3872.6,2594.6420000000003,O.E. Ltd,Las Vegas,Clark County,Nevada,City,36.17497,-115.13722,702,623747,215614,50202,348034258,133982,America/Los Angeles,TV and video,Nicholas Cunningham,South,2018,2019,1,October,January,22,11617.8
SO - 0006755,Online,2020-03-10,2020-07-26,2020-07-29,2020-08-02,19,2,215,25,5,0.075,1139.0,706.18,WakeFern ,Grand Rapids,Kent County,Michigan,City,42.96336,-85.66809,616,195097,73026,40355,115103540,2252017,America/Detroit,TV and video,Nicholas Cunningham,South,2020,2020,7,March,July,7,5695.0
SO - 0006502,Online,2020-03-10,2020-06-28,2020-06-30,2020-07-02,19,19,336,25,7,0.075,1025.1000000000001,697.0680000000001,Qualitest ,Plano,Collin County/Denton County,Texas,City,33.05077,-96.74794,972,283558,103937,83793,185617682,927319,America/Chicago,TV and video,Nicholas Cunningham,South,2020,2020,6,March,June,4,7175.700000000001
SO - 0006776,Online,2020-03-10,2020-07-29,2020-08-09,2020-08-16,19,45,108,25,8,0.1,214.4,96.48,Nipro ,New Haven (Town),New Haven County,Connecticut,Town,41.310810000000004,-72.92495,203,130322,49771,37192,48407373,3739487,America/New York,TV and video,Nicholas Cunningham,South,2020,2020,7,March,July,18,1715.2
SO - 0001805,Online,2018-07-19,2018-12-20,2019-01-10,2019-01-15,19,33,122,25,7,0.075,5648.1,2372.202,Trigen ,Hollywood,Broward County,Florida,City,26.0112,-80.14949,954,149728,55823,46791,70639073,8937087,America/New York,TV and video,Nicholas Cunningham,South,2018,2018,12,July,December,26,39536.700000000004
SO - 0003840,Online,2019-05-15,2019-08-14,2019-08-24,2019-09-01,19,22,258,4,3,0.15,5929.5,3557.7,Capweld ,Amherst,Erie County,New York,Town,43.01164,-78.75715,716,125109,49558,68294,137777476,1003270,America/New York,Serveware,Nicholas Cunningham,South,2019,2019,8,May,August,18,17788.5
SO - 0007743,Online,2020-06-18,2020-11-18,2020-11-27,2020-12-01,19,7,289,4,7,0.3,2398.6,1151.328,New Ltd,Gresham,Multnomah County,Oregon,City,45.49818,-122.43148,503,110553,38773,46956,60342997,532750,America/Los Angeles,Serveware,Nicholas Cunningham,South,2020,2020,11,June,November,13,16790.2
SO - 0005881,Online,2019-12-01,2020-04-16,2020-04-22,2020-04-27,19,3,98,4,8,0.05,5118.8,2149.896,"Elorac, Corp",Highlands Ranch,Douglas County,Colorado,CDP,39.55388,-104.96943,303,101350,37157,108570,62856809,70330,America/Denver,Serveware,Nicholas Cunningham,South,2019,2020,4,December,April,11,40950.4
SO - 0002326,Online,2018-10-27,2019-02-12,2019-02-21,2019-02-28,19,31,54,4,8,0.075,3035.1,1578.252,Uriel Group,Oceanside,San Diego County,California,City,33.19587,-117.37948,760,175691,60493,57703,106841893,2392242,America/Los Angeles,Serveware,Nicholas Cunningham,South,2018,2019,2,October,February,16,24280.8
SO - 0002416,Online,2018-10-27,2019-02-23,2019-03-02,2019-03-06,19,8,148,4,7,0.05,804.0,393.96,Medsep Group,Davenport,Scott County,Iowa,City,41.52364,-90.57764,563,102582,41100,47343,162885999,5501339,America/Chicago,Serveware,Nicholas Cunningham,South,2018,2019,2,October,February,11,5628.0
SO - 0005730,Online,2019-12-01,2020-03-29,2020-04-26,2020-05-01,19,22,342,4,6,0.4,6184.1,3339.414,Capweld ,Tyler,Smith County,Texas,City,32.35126,-95.30106,903,103700,37644,42840,146667943,1327654,America/Chicago,Serveware,Nicholas Cunningham,South,2019,2020,3,December,March,33,37104.600000000006
SO - 0007765,Online,2020-09-26,2020-11-21,2020-12-12,2020-12-20,19,12,168,4,8,0.075,1085.4,477.576,Medline ,Niles (Township),Cook County,Illinois,Township,42.03209,-87.75778,847,106229,37478,69857,55058020,0,America/Chicago,Serveware,Nicholas Cunningham,South,2020,2020,11,September,November,29,8683.2
SO - 0001483,Online,2018-07-19,2018-11-12,2018-11-26,2018-12-02,19,35,64,4,2,0.1,3892.7000000000003,2763.817,Amylin Group,Riverside,Riverside County,California,City,33.95333,-117.39611,951,322424,91267,57196,210379895,801713,America/Los Angeles,Serveware,Nicholas Cunningham,South,2018,2018,11,July,November,20,7785.400000000001
SO - 0002907,Online,2019-02-04,2019-04-26,2019-05-23,2019-05-27,19,26,297,4,5,0.3,3832.4,2912.6240000000003,Mylan Corp,Charleston,Berkeley County/Charleston County,South Carolina,City,32.81793,-79.95896,843,132609,52450,55546,282372739,47927393,America/New York,Serveware,Nicholas Cunningham,South,2019,2019,4,February,April,31,19162.0
SO - 0005868,Online,2019-12-01,2020-04-14,2020-04-27,2020-04-30,19,42,23,4,8,0.05,2994.9,2126.379,Llorens Ltd,Clovis,Fresno County,California,City,36.82523,-119.70292,559,104180,34512,62666,62693928,0,America/Los Angeles,Serveware,Nicholas Cunningham,South,2019,2020,4,December,April,16,23959.2
