Date,State,Dead,Injured,Total,Description
04/04/2018,Louisiana,2,2,4,Two people were killed and two others were injured in a shooting.
03/04/2018,California,1,4,5,"YouTube headquarters shooting: A woman approached an outdoor patio at YouTube Headquarters and wounded three people before committing suicide, a fourth person was injured in the evacuation."
02/04/2018,Texas,1,3,4,One person was killed and three others were wounded in a drive-by shooting outside of a home.
01/04/2018,Alabama,1,4,5,A fifteen-year-old was killed and four other people were wounded in a shooting at a spring break party.
01/04/2018,Michigan,0,5,5,Five people were injured in a shooting at a house party.
31/03/2018,New Jersey,0,5,5,Five people were wounded in a drive-by shooting.
29/03/2018,Texas,1,3,4,One person was killed and three others were injured in a shooting at an apartment complex. One person was arrested.
29/03/2018,New Jersey,0,4,4,Four people were wounded in a shooting inside a business.
24/03/2018,Utah,0,4,4,Four people were injured in a drive-by shooting directed at a traveling rap group. The shooting may have been gang-related.
21/03/2018,California,1,5,6,"A police officer, the suspect, and four others were all wounded by gunfire. One of the wounded victims later died of his injuries."
17/03/2018,Kentucky,0,7,7,Seven people were injured in a shooting in a nightclub.
17/03/2018,Illinois,0,4,4,"Four men were wounded in a shooting in a strip club, which seemed to stem from an earlier incident at a different nightclub."
13/03/2018,Florida,0,4,4,Four people were injured in a drive-by shooting. Two people were later arrested.
12/03/2018,California,0,4,4,Four people were injured when shots were fired through the garage door of the garage they were in.
11/03/2018,Illinois,1,3,4,Three people were wounded and one other was fatally injured in a nightclub shooting following a verbal argument.
11/03/2018,Indiana,0,6,6,Six people were wounded when a man began shooting at a house party. He was arrested.
11/03/2018,Michigan,0,5,5,Five people were injured in a shooting following an argument at a party.
09/03/2018,California,5,0,5,"Yountville Shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide."
09/03/2018,North Carolina,3,1,4,A man killed three people and injured one other in a shooting at a restaurant and bar. He was arrested two days later.
07/03/2018,Alabama,2,2,4,A man entered a restaurant and killed the restaurant's owner and wounded three others. He was later taken into custody by police.
04/03/2018,Illinois,1,4,5,One man was killed and four other people were injured in a shooting at a party.
03/03/2018,Florida,0,4,4,Four people were injured in a shooting.
03/03/2018,New York,1,3,4,One person was killed and three were injured in a shooting or series of shootings in a close vicinity in Brooklyn.
27/02/2018,Connecticut,0,4,4,Four people were wounded after being shot by at least three shooters.
26/02/2018,Michigan,5,0,5,"A man shot and killed the mother of his child and another woman who was sitting with her in a car at a gas station. He then killed another man at the gas station before returning home and killing his cousin. After being urged by his mother to turn himself in to police, the suspect killed himself."
23/02/2018,Florida,1,3,4,One person was killed and three were injured after a drug deal.
18/02/2018,Texas,0,5,5,Five people were injured in a shooting outside a Texas Roadhouse.
17/02/2018,Kansas,1,7,8,One person was killed and seven others were injured at a party in what police suspect to be a gang-related shooting.
17/02/2018,Tennessee,0,5,5,Five people were wounded in a shooting outside a nightclub.
16/02/2018,Oklahoma,1,3,4,One person was killed and three were injured inside a home. The man who died had been receiving threats after falling out with a gang. Two people were arrested.
14/02/2018,Florida,17,17,34,"Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police."
13/02/2018,Louisiana,3,5,8,A series of shootings left three people dead and five others wounded during the Mardi Gras celebration in New Orleans.
11/02/2018,Michigan,4,3,7,Three women were killed and three police officers were wounded before a gunman killed himself in a murder–suicide in a home.
10/02/2018,Kentucky,5,0,5,A gunman killed two people in a home and two other people in an apartment building before killing himself in a murder–suicide.
07/02/2018,Florida,3,3,6,A man killed two people and injured three others in a series of shootings before being shot and killed by a police officer.
05/02/2018,Colorado,2,4,6,A sheriff's deputy was killed and three detectives and a passerby were wounded in a shooting. The suspect was killed by police.
03/02/2018,Ohio,1,5,6,One person was killed and five others were injured in a shooting at a sports bar.
31/01/2018,Missouri,0,4,4,Three people in a car and a man standing at a bus stop were injured when they were shot at by someone in another vehicle.
28/01/2018,Pennsylvania,5,0,5,"A man shot his ex-girlfriend and three other people at a car wash. The suspect also sustained a gunshot injury, suspected to be self-inflicted, and later died of his injuries."
28/01/2018,Pennsylvania,4,0,4,Four men were killed in a shooting in an apartment.
28/01/2018,Indiana,2,3,5,Two were killed and three people were injured in a shooting at a bar.
27/01/2018,California,0,5,5,Five people were injured in a gang-related drive-by shooting.
27/01/2018,Kentucky,0,4,4,Four people were wounded in a fight in and outside a club.
25/01/2018,District of Columbia,0,4,4,Four people were injured in a shooting.
23/01/2018,Pennsylvania,0,4,4,Four people were injured in a drive-by shooting.
23/01/2018,Kentucky,2,16,18,Marshall County High School Shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.
21/01/2018,Florida,0,4,4,Four children were injured in a shooting. Two teenage suspects were arrested by police.
21/01/2018,Illinois,0,4,4,Four people were injured after being shot near the entrance to a party.
17/01/2018,District of Columbia,1,3,4,A man killed one person and injured three others after determining them to be acquaintances of a person who stole his favorite pistol. The man was later taken into custody.
15/01/2018,Florida,0,5,5,Five people were injured in a gang-related drive-by shooting believed to be related to a murder that had happened the previous day. Two suspects were arrested.
14/01/2018,Alabama,1,4,5,One person was killed and four were injured in a shooting following a fight at a biker club party.
14/01/2018,Alabama,0,4,4,Four people were injured in a shooting at a hotel. A suspect was arrested.
12/01/2018,Tennessee,3,2,5,"A man wounded his stepmother and killed her two daughters before highjacking a car, killing the driver and wounding the passenger. A suspect was arrested after abandoning the car."
11/01/2018,Missouri,2,2,4,"Four people were discovered in a vehicle, two deceased and two wounded, after police responded to calls of an abandoned car."
07/01/2018,Alabama,1,5,6,A shooting on US Highway 29 led to the shooting of another person at a local hospital. One person was killed and five others were wounded. Three suspects were arrested.
07/01/2018,Florida,0,4,4,Four people were wounded while leaving a private party.
05/01/2018,Mississippi,0,6,6,Six people were wounded in a drive-by shooting behind a bar.
04/01/2018,Arkansas,1,3,4,A 33-year-old was killed and three others wounded in a common area of an apartment complex.
01/01/2018,Alabama,1,3,4,A 21-year-old was killed and three others were wounded shortly after midnight at a New Year's Eve party.
